"","V1","V2","V3"
"541",1506018381,3130.6251335,0.0017
"542",1506018410,3130.6251335,0.0033
"543",1506018441,3130.6251335,0.0054
"544",1506018470,3130.6251335,0.0052
"545",1506018499,3130.6251335,0.0044
"546",1506018528,3130.6251335,0.002
"547",1506018558,3130.6251335,0.0031
"548",1506018585,3130.6251335,0.0034
"549",1506018615,3121.3951335,0.0051
"550",1506018644,3121.3951335,0.0023
"551",1506018674,3121.3951335,0.0024
"552",1506018701,3121.3951335,0.0025
"553",1506018731,3121.3951335,0.0045
"554",1506018760,3121.3951335,0.0012
"555",1506018789,3122.560017,0.0056
"556",1506018818,3122.560017,0.0058
"557",1506018847,3122.560017,0.003
"558",1506018876,3122.560017,0.0025
"559",1506018905,3122.560017,0.0036
"560",1506018934,3122.560017,0.0048
"561",1506018963,3122.560017,0.001
"562",1506018993,3122.560017,0.0011
"563",1506019021,3122.560017,0.0047
"564",1506019050,3122.560017,0.0045
"565",1506019079,3122.560017,0.005
"566",1506019108,3122.560017,0.0048
"567",1506019137,3122.560017,0.0014
"568",1506019166,3122.560017,0.0051
"569",1506019195,3122.560017,0.0044
"570",1506019225,3122.560017,0.0058
"571",1506019252,3122.560017,0.0046
"572",1506019282,3117.0550055,0.0046
"573",1506019311,3117.0550055,0.0018
"574",1506019340,3117.0550055,0.0031
"575",1506019369,3117.0550055,0.003
"576",1506019398,3115.67838962,0.0053
"577",1506019427,3115.67838962,0.0016
"578",1506019456,3115.67838962,0.003
"579",1506019485,3115.67838962,0.0027
"580",1506019515,3115.67838962,0.0028
"581",1506019544,3115.67838962,0.0055
"582",1506019571,3115.67838962,0.0031
"583",1506019602,3115.67838962,0.002
"584",1506019630,3113.9860154,0.0015
"585",1506019659,3113.9860154,0.0024
"586",1506019689,3113.9860154,0.0026
"587",1506019717,3113.9860154,0.0055
"588",1506019746,3113.9860154,0.0055
"589",1506019776,3113.9860154,0.0051
"590",1506019806,3113.9860154,0.0036
"591",1506019838,3113.9860154,0.005
"592",1506019867,3116.57937471,0.0042
"593",1506019894,3116.57937471,0.0032
"594",1506019926,3120.0551655,0.0022
"595",1506019954,3120.0551655,0.0038
"596",1506019984,3121.520019,0.001
"597",1506020012,3121.520019,0.0018
"598",1506020044,3121.520019,0.0011
"599",1506020072,3121.520019,0.0055
"600",1506020094,3121.520019,0.0026
"601",1506020124,3121.520019,0.0034
"602",1506020153,3121.520019,0.0053
"603",1506020183,3121.520019,0.0028
"604",1506020211,3121.520019,0.0022
"605",1506020241,3121.520019,0.0025
"606",1506020270,3121.520019,0.0022
"607",1506020299,3121.520019,0.0011
"608",1506020328,3121.520019,0.0058
"609",1506020358,3121.520019,0.0048
"610",1506020386,3121.520019,0.0048
"611",1506020416,3121.520019,0.0054
"612",1506020448,3121.520019,0.0058
"613",1506020475,3121.520019,0.0057
"614",1506020503,3121.520019,0.005
"615",1506020533,3120.36605642,0.0017
"616",1506020561,3120.36605642,0.0026
"617",1506020592,3120.36605642,0.0017
"618",1506020620,3120.36605642,0.0036
"619",1506020649,3120.36605642,0.0033
"620",1506020678,3120.36605642,0.0016
"621",1506020709,3120.36605642,0.0026
"622",1506020737,3120.36605642,0.0015
"623",1506020766,3122.80303009,0.0036
"624",1506020795,3122.80303009,0.0016
"625",1506020825,3116.95359224,0.0047
"626",1506020853,3107.050182,0.0047
"627",1506020882,3099.3759495,0.0046
"628",1506020911,3086.280227,0.0033
"629",1506020940,3086.280227,0.0035
"630",1506020970,3081.0070043,0.0041
"631",1506020998,3081.0070043,0.0014
"632",1506021028,3078.420263,0.0055
"633",1506021057,3078.420263,0.0016
